timestamp,energy_pv,power_consumed_kwh,energy_hotwater
2017-06-03 14:45:00,158.0,882.0,718.0
2017-06-03 15:00:00,187.0,55.0,1.0
2017-06-03 15:15:00,25.0,55.0,1.0
2017-06-03 15:30:00,5.0,45.0,1.0
2017-06-03 15:45:00,10.0,46.0,1.0
2017-06-03 16:00:00,2.0,45.0,1.0
2017-06-03 16:15:00,2.0,29.0,1.0
2017-06-03 16:30:00,-1.0,176.0,1.0
2017-06-03 16:45:00,-0.0,165.0,1.0
2017-06-03 17:00:00,-0.0,117.0,1.0
2017-06-03 17:15:00,-0.0,142.0,1.0
2017-06-03 17:30:00,-0.0,116.0,1.0
2017-06-03 17:45:00,-0.0,377.0,1.0
2017-06-03 18:00:00,-0.0,572.0,1.0
2017-06-03 18:15:00,-0.0,590.0,1.0
2017-06-03 18:30:00,0.0,457.0,1.0
2017-06-03 18:45:00,-0.0,199.0,1.0
2017-06-03 19:00:00,-0.0,225.0,1.0
2017-06-03 19:15:00,-0.0,157.0,1.0
2017-06-03 19:30:00,-0.0,96.0,1.0
2017-06-03 19:45:00,-0.0,116.0,1.0
2017-06-03 20:00:00,-0.0,121.0,1.0
2017-06-03 20:15:00,-0.0,176.0,1.0
2017-06-03 20:30:00,-0.0,110.0,1.0
2017-06-03 20:45:00,-0.0,108.0,1.0
2017-06-03 21:00:00,-0.0,130.0,1.0
2017-06-03 21:15:00,-0.0,111.0,1.0
2017-06-03 21:30:00,-0.0,59.0,1.0
2017-06-03 21:45:00,-0.0,59.0,1.0
2017-06-03 22:00:00,-0.0,41.0,1.0
2017-06-03 22:15:00,-0.0,53.0,1.0
2017-06-03 22:30:00,-0.0,57.0,1.0
2017-06-03 22:45:00,-0.0,30.0,1.0
2017-06-03 23:00:00,0.0,904.0,873.0
2017-06-03 23:15:00,0.0,967.0,920.0
2017-06-03 23:30:00,0.0,963.0,921.0
2017-06-03 23:45:00,0.0,953.0,924.0
2017-06-04 00:00:00,-0.0,148.0,103.0
2017-06-04 00:15:00,-0.0,28.0,1.0
2017-06-04 00:30:00,-0.0,44.0,1.0
2017-06-04 00:45:00,-0.0,53.0,1.0
2017-06-04 01:00:00,-0.0,31.0,1.0
2017-06-04 01:15:00,-0.0,28.0,1.0
2017-06-04 01:30:00,-0.0,35.0,1.0
2017-06-04 01:45:00,-0.0,59.0,1.0
2017-06-04 02:00:00,-0.0,29.0,1.0
2017-06-04 02:15:00,-0.0,26.0,1.0
2017-06-04 02:30:00,-0.0,37.0,1.0
2017-06-04 02:45:00,-0.0,49.0,1.0
2017-06-04 03:00:00,-0.0,36.0,1.0
2017-06-04 03:15:00,-0.0,25.0,1.0
2017-06-04 03:30:00,-0.0,42.0,1.0
2017-06-04 03:45:00,-0.0,173.0,1.0
2017-06-04 04:00:00,0.0,551.0,510.0
2017-06-04 04:15:00,0.0,955.0,925.0
2017-06-04 04:30:00,-0.0,255.0,206.0
